רמה	מספר	מפרק	מפסוק	עד ספר	עד פרק	עד פסוק	חטיבה (1)	אנגלית	יחידה (2)	אנגלית	פירוט (3)	אנגלית															
	בראשית	כו	כו	בראשית	כו	לג	יצחק	Yitzhak	יצחק ואבימלך		ברית יצחק ואבימלך	The Covenant of Yitzhak and Avimelekh															
	בראשית	כו	לד	בראשית	כו	לה	יצחק	Yitzhak	נישואי עשו	Esav's Marriage																	
	בראשית	כז	א	בראשית	כח	ט	יצחק	Yitzhak	ברכות יצחק לבניו	Yitzhak Blesses his Sons																	
	בראשית	כז	א	בראשית	כז	ד	יצחק	Yitzhak	ברכות יצחק לבניו		בקשת יצחק מעשו	Yitzhak's Request of Esav															
	בראשית	כז	ה	בראשית	כז	יז	יצחק	Yitzhak	ברכות יצחק לבניו		תכנית רבקה	Rivka's Plan															
	בראשית	כז	יח	בראשית	כז	כט	יצחק	Yitzhak	ברכות יצחק לבניו		ברכת יצחק ליעקב	Yitzhak Blesses Yaakov															
	בראשית	כז	ל	בראשית	כז	מ	יצחק	Yitzhak	ברכות יצחק לבניו		חזרת עשו וברכתו	Esav's Return and his Blessing															
	בראשית	כז	מא	בראשית	כז	מה	יצחק	Yitzhak	ברכות יצחק לבניו		עצת רבקה	Rivka Devises to Send Yaakov Away															
	בראשית	כז	מו	בראשית	כח	ה	יצחק	Yitzhak	ברכות יצחק לבניו		ברכת יצחק ליעקב	Yitzhak Blesses Yaakov and Sends him to Haran															
	בראשית	כח	ו	בראשית	כח	ט	יצחק	Yitzhak	ברכות יצחק לבניו		נישואי עשו השניים	Esav's Second Marriage - to Yishmael's Daughter															
4	בראשית	כח	י	בראשית	לו	מג	יעקב	Yaakov																			
	בראשית	כח	י	בראשית	לא	נה	יעקב	Yaakov	יעקב בחרן	Yaakov in Haran																	
	בראשית	כח	י	בראשית	כח	כב	יעקב	Yaakov	יעקב בחרן		חלום הסולם	The Ladder Dream															
	בראשית	כט	א	בראשית	כט	יד	יעקב	Yaakov	יעקב בחרן		פגישת יעקב ורחל	Yaakov Meets Rachel															
	בראשית	כט	טו	בראשית	כט	ל	יעקב	Yaakov	יעקב בחרן		נישואי יעקב	Yaaov's Marriages															
	בראשית	כט	לא	בראשית	ל	כד	יעקב	Yaakov	יעקב בחרן		לידת בני יעקב	The Births of Yaakov's Children															
