רמה	מספר	מפרק	מפסוק	עד ספר	עד פרק	עד פסוק	חטיבה (1)	יחידה (2)	פירוט (3)																
	דברים	יח	ט	דברים	יח	כב	נאום המצוות	מצוות משפט והנהגה	נביא אמת מול כישופי הגויים																
	דברים	יט	א	דברים	יט	יג	נאום המצוות	מצוות משפט והנהגה	ערי מקלט ודיני רוצח																
	דברים	יט	יד	דברים	יט	יד	נאום המצוות	מצוות משפט והנהגה	איסור הסגת גבול																
	דברים	יט	טו	דברים	יט	כא	נאום המצוות	מצוות משפט והנהגה	עדים זוממים																
	דברים	כ	א	דברים	כא	יד	נאום המצוות	דיני המלחמה																	
	דברים	כ	א	דברים	כ	ט	נאום המצוות	דיני המלחמה	חיזוק היוצאים למלחמה ודין המשוחררים ממנה																
	דברים	כ	י	דברים	כ	יח	נאום המצוות	דיני המלחמה	חובת הקריאה לשלום ודין עמי כנען לאחר כיבושם																
	דברים	כ	יט	דברים	כ	כ	נאום המצוות	דיני המלחמה	כריתת עצים במצור																
	דברים	כא	א	דברים	כא	ט	נאום המצוות	דיני המלחמה	עגלה ערופה																
	דברים	כא	י	דברים	כא	יד	נאום המצוות	דיני המלחמה	אשת יפת תואר																
	דברים	כא	טו	דברים	כב	ח	נאום המצוות	לקט מצוות																	
	דברים	כא	טו	דברים	כא	יז	נאום המצוות	לקט מצוות	ירושת הבכור - בן השנואה																
	דברים	כא	יח	דברים	כא	כא	נאום המצוות	לקט מצוות	בן סורר ומורה																
	דברים	כא	כב	דברים	כא	כג	נאום המצוות	לקט מצוות	קבורת התלוי ביומו																
	דברים	כב	א	דברים	כב	ג	נאום המצוות	לקט מצוות	השבת אבידה																
	דברים	כב	ד	דברים	כב	ד	נאום המצוות	לקט מצוות	הקמת שור וחמור																
	דברים	כב	ה	דברים	כב	ה	נאום המצוות	לקט מצוות	איסור כלי גבר על אישה ולהיפך																
	דברים	כב	ו	דברים	כב	ז	נאום המצוות	לקט מצוות	שילוח הקן																
	דברים	כב	ח	דברים	כב	ח	נאום המצוות	לקט מצוות	מצוות מעקה																
	דברים	כב	ט	דברים	כב	יא	נאום המצוות	כלאיים																	
	דברים	כב	ט	דברים	כב	ט	נאום המצוות	כלאיים	כלאי הכרם																
	דברים	כב	י	דברים	כב	י	נאום המצוות	כלאיים	כלאי בהמה בחרישה																
	דברים	כב	יא	דברים	כב	יא	נאום המצוות	כלאיים	שעטנז																
	דברים	כב	יב	דברים	כב	יב	נאום המצוות	ציצית																	
	דברים	כב	יג	דברים	כג	א	נאום המצוות	בין איש לאישה																	
	דברים	כב	יג	דברים	כב	כא	נאום המצוות	בין איש לאישה	טענת בתולים																
	דברים	כב	כב	דברים	כב	כב	נאום המצוות	בין איש לאישה	שוכב עם אשת איש																
	דברים	כב	כג	דברים	כב	כז	נאום המצוות	בין איש לאישה	שוכב עם נערה מאורסה																
	דברים	כב	כח	דברים	כב	כט	נאום המצוות	בין איש לאישה	שוכב עם נערה בתולה																
	דברים	כג	א	דברים	כג	א	נאום המצוות	בין איש לאישה	איסור אשת אביו																
	דברים	כג	ב	דברים	כג	ט	נאום המצוות	מי שלא יבוא בקהל ה'																	
	דברים	כג	ב	דברים	כג	ג	נאום המצוות	מי שלא יבוא בקהל ה'	"פצוע דכה, כרות שופכה וממזר"																
	דברים	כג	ד	דברים	כג	ז	נאום המצוות	מי שלא יבוא בקהל ה'	עמוני ומואבי בקהל ה'																
	דברים	כג	ח	דברים	כג	ט	נאום המצוות	מי שלא יבוא בקהל ה'	אדומי ומצרי בקהל ה'																
	דברים	כג	י	דברים	כו	טו	נאום המצוות	לקט מצוות																	
	דברים	כג	י	דברים	כג	טו	נאום המצוות	לקט מצוות	טהרת המחנה ונקיונו																
	דברים	כג	טז	דברים	כג	יז	נאום המצוות	לקט מצוות	איסור הסגרת עבד																
	דברים	כג	יח	דברים	כג	יח	נאום המצוות	לקט מצוות	איסור קדש וקדשה																
	דברים	כג	יט	דברים	כג	יט	נאום המצוות	לקט מצוות	איסור אתנן זונה																
	דברים	כג	כ	דברים	כג	כא	נאום המצוות	לקט מצוות	איסור ריבית ונשך																
	דברים	כג	כב	דברים	כג	כד	נאום המצוות	לקט מצוות	החובה לשלם נדרים																
	דברים	כג	כה	דברים	כג	כו	נאום המצוות	לקט מצוות	אכילת פועל בשדה ובכרם																
	דברים	כד	א	דברים	כד	ד	נאום המצוות	לקט מצוות	דיני גירושין																
	דברים	כד	ה	דברים	כד	ה	נאום המצוות	לקט מצוות	הלוקח אישה חדשה - לא יצא לצבא																
	דברים	כד	ו	דברים	כד	ו	נאום המצוות	לקט מצוות	איסור לחבול ריחיים ורכב																
	דברים	כד	ז	דברים	כד	ז	נאום המצוות	לקט מצוות	דין גונב נפש מאחיו																
	דברים	כד	ח	דברים	כד	ח	נאום המצוות	לקט מצוות	החובה להישמר בנגע הצרעת																
	דברים	כד	י	דברים	כד	יג	נאום המצוות	לקט מצוות	התנהגות עם לווה שנתן משכון																
	דברים	כד	יד	דברים	כד	טו	נאום המצוות	לקט מצוות	תשלום שכר בזמן																
	דברים	כד	טז	דברים	כד	טז	נאום המצוות	לקט מצוות	איסור להמית אבות על בנים ולהיפך																
	דברים	כד	יז	דברים	כד	יח	נאום המצוות	לקט מצוות	זהירות במשפט גר יתום ואלמנה																
	דברים	כד	יט	דברים	כד	כב	נאום המצוות	לקט מצוות	מתנות עניים בשדה ובכרם																
	דברים	כה	א	דברים	כה	ג	נאום המצוות	לקט מצוות	עונש מלקות בית דין																
	דברים	כה	ד	דברים	כה	ד	נאום המצוות	לקט מצוות	איסור חסימת שור בדישו																
	דברים	כה	ה	דברים	כה	י	נאום המצוות	לקט מצוות	מצוות ייבום וחליצה																
	דברים	כה	יא	דברים	כה	יב	נאום המצוות	לקט מצוות	תשלום על בושת																
	דברים	כה	יג	דברים	כה	טז	נאום המצוות	לקט מצוות	איסור רמיה במידות ובמשקולות																
	דברים	כה	יז	דברים	כה	יט	נאום המצוות	לקט מצוות	זכירת מעשה עמלק והחובה למחותו																
	דברים	כו	א	דברים	כו	יא	נאום המצוות	לקט מצוות	ביכורים																
	דברים	כו	יב	דברים	כו	טו	נאום המצוות	לקט מצוות	ביעור מעשרות																
	דברים	כו	טז	דברים	כו	יט	נאום המצוות	דברי סיכום לנאום המצוות																	
	דברים	כז	א	דברים	ל	כ	נאום הברית																		
	דברים	כז	א	דברים	כז	כו	נאום הברית	מעמד הברית בהר גריזים והר עיבל																	
	דברים	כז	א	דברים	כז	ח	נאום הברית	מעמד הברית בהר גריזים והר עיבל	הקמת אבנים ומזבח בהר עיבל																
